Domain,Feature,Status,Doc,Test,Has Help Center,Doc Link,Test Link,Help Center Link,Dependency
Shared Product Features,AI-Powered Product Image & Description,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shared-Product-Features-2aea781ca50980a19800cba2edde22be,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1897333552#gid=1897333552,,
Shared Product Features,Default Product Image Selection,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shared-Product-Features-2aea781ca50980a19800cba2edde22be,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1897333552#gid=1897333552,,
Shared Product Features,Product Release Date,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shared-Product-Features-2aea781ca50980a19800cba2edde22be,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1897333552#gid=1897333552,,
Shared Product Features,Product Publish & Visibility Status,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shared-Product-Features-2aea781ca50980a19800cba2edde22be,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1897333552#gid=1897333552,,
Shared Product Features,Reorder Products,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shared-Product-Features-2aea781ca50980a19800cba2edde22be,https://docs.google.com/spreadsheets/d/10VXFsC0n7e0sUPVJLAXHQAYx1PPDN7N_-0cl5nI309c/edit?gid=1897333552#gid=1897333552,,
Collection,Collection,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Collections-Management-2b0a781ca5098079a5f0f24294645017,,,
ChatBot,Chatbot,Analysis,No,No,No,,,,
Shipping,Shipping,Analysis,No,No,No,,,,
Subscription,Subscriptions,Analysis,Yes,No,No,https://www.notion.so/Subscription-Plans-Management-260a781ca5098089a895e1ef82aa1377,,,
Settings,API Keys,Dev Complete (Untested),No,No,No,https://www.notion.so/API-Keys-Management-2cba781ca50980d5aa59cc47a92b79e6,,,
Settings,User Management,Refactor Needed,No,No,No,,,,
Settings,Payment methods,Dev Complete (Untested),No,No,No,,,,
Settings,General,Dev Complete (Untested),No,No,No,,,,
Settings,Template builder,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Shop-Builder-Designer-Canvas-2b0a781ca50980e6943cc78bc7f1194e,,,
,Blog,Analysis,No,No,No,,,,
Order,Customers,Dev Complete (Untested),Yes,No,No,https://www.notion.so/Customer-List-2cba781ca5098002b776e07c8d23881e,,,
Order,Orders,Analysis,No,No,No,,,,
Web3,Merchant Wallet,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Merchant-Wallet-260a781ca509803c9315f61736dc090e,,,
Web3,Ruleset Creation & Management,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Ruleset-Creation-Management-260a781ca50980c3bb3ecd5426444154,,,
Web3,Record NFt,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Record-NFT-260a781ca509801d930ac70a7eb517c9,,,
Web3,Discount Coupons,Dev Complete (Untested),Yes,Yes,No,https://www.notion.so/Credits-Coupons-2b0a781ca50980c4ae29d495bda763fa,,,
Web3,Token pricing,Refactor Needed,No,No,No,,,,
,,,No,No,No,,,,
